Item #,Title,Image URL,Description,Characters,Character-centric,Type,Tags,Price ($),Series,Number of Items,Discount,Collaboration
485713,Pompompurin Mascot Badge Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/4550624485715-3_800x.jpg?v=1749257323,"Celebrating 40 years of this fan-favorite contest, the Sanrio Character Ranking Awards is one of the most anticipated events of the year! These kawaii embroidered mascot keychains spell out the name of your #1 character and easily spruce up your purse, tote, or set of keys.",Pompompurin,Pompompurin,Accessory,"accessory, keyhain, badge keychain, badge, embroidered, yellow",5.99,Sanrio Character Award,Single,0,None
174670,Pompompurin Mini Mascot Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/zz-2504174459_PN_--1_800x.jpg?v=1746123753,"I’ll adore you with all my heart! Clip this adorable plush mascot to a bag or tote and even use it as decor. The colorful clip attachment is shaped like a heart, sure to bring a smile every time you catch a glance!",Pompompurin,Pompompurin,Accessory,"accessory, keychain, plush keychain, yellow",14.99,Sanrio Character Award,Single,0,None
619574,Pompompurin Customizable Keychain (Sanrio Character Award Series),https://www.sanrio.com/cdn/shop/files/zz-2504619507_PN_--2_800x.jpg?v=1744855786,"Celebrating 40 years of this fan-favorite contest, the Sanrio Character Ranking Awards is one of the most anticipated events of the year! These kawaii mascot keychains are customizable and easily spruce up your purse, tote, or set of keys.",Pompompurin,Pompompurin,Accessory,"accessory, keychain, customizable, stickers, pvc, resin, yellow",10.99,Sanrio Character Award,Multiple,4,None
319007,Pompompurin x The Crème Shop Gloss Jelly Tinted Peptide Lip Glaze (Pink Crush),https://www.sanrio.com/cdn/shop/files/197638017958_800x.png?v=1753996476,"Our peptides tinted lip balm will visibly help plump and soften the lips for luscious, juicier-looking lips. This lip balm is ultra glossy for shine that lasts for hours. Each adorable lip glaze comes with stickers for personalization – it’s the perfect Sanrio collectible! ",Pompompurin,Pompompurin,Beauty,"lip glaze, makeup, collagen, peptide, shea butter, yellow, pink, clear",13,None,Single,13,The Creme Shop
891096,Pompompurin x Baggu Small Cosmetic Case (Yellow),https://www.sanrio.com/cdn/shop/files/Small_Cosmetic_Case_Heavyweight_Pompompurin_01_800x.jpg?v=1753141375,"A compact cosmetic case designed to make packing easier. A cute print, handy top handle, and just the right amount of room for all of your daily beauty needs.",Pompompurin,Pompompurin,Bags,"bag, cosmetic case, nylon, yellow",38,None,Single,0,Baggu
888800,Pompompurin x Baggu Baby Baggu (Yellow),https://www.sanrio.com/cdn/shop/files/Baby_Baggu_Ripstop_Pompompurin_01_800x.jpg?v=1753141851,"A smaller version of our original reusable shopping bag. Perfect for your lunch, a six pack, extra shoes, or a trip to the corner store.",Pompompurin,Pompompurin,Bags,"bag, baggu, baby baggu, nylon, yellow, orange",12,None,Single,0,Baggu
891690,Pompompurin x Baggu Standard Baggu (Yellow),https://www.sanrio.com/cdn/shop/files/Standard_Baggu_Ripstop_Pompompurin_01_800x.jpg?v=1753286464,"Baggu's best selling reusable bag isn't just for the grocery store, it goes everywhere and hauls almost anything.",Pompompurin,Pompompurin,Bags,"bag, baggu, standard baggu, nylon, yellow, orange",14,None,Single,0,Baggu
891053,"Pompompurin x Baggu 13""/14"" Puffy Laptop Sleeve",https://www.sanrio.com/cdn/shop/files/Puffy_Laptop_Sleeve_13_-14__Ripstop_Pompompurin_01_800x.jpg?v=1753286974,"Your laptop does so much for you. Doesn’t it deserve a cozy place to live? Baggu's puffy laptop sleeve is quilted and stuffed to provide your 13"" or 14"" laptop or tablet with just enough padding for comfortable rides.",Pompompurin,Pompompurin,Accessory,"accessory, laptop sleeve, quilted, nylon, orange, yellow",32,None,Single,0,Baggu
492167,"Pompompurin 8"" Squishmallow Dreamland Plush",https://www.sanrio.com/cdn/shop/files/SQSN00484_1200x.jpg?v=1754340591,"Step into a world of whimsy with the Squishmallow 8-inch Hello Kitty and Friends Dreamland Assortment! Featuring cozy colors and enchanting designs, each plush brings Hello Kitty's dreamland adventures to life. Perfect for snuggles, play, and collecting, these delightful companions are a must-have for all ages!",Pompompurin,Pompompurin,Plush,"plush, 8'' plush, pastel dreamland, embroidered, yellow, pink",22,None,Single,0,Squishmallow
491314,Pompompurin Squishmallow Plush Mascot Clip (Ice Cream),https://www.sanrio.com/cdn/shop/files/SQSN00978_8_800x.jpg?v=1754341131,"Enjoy your favorite foods and snacks with the Squishmallow Hello Kitty and Friends Clip-On Plush Assortment! Each 3.5-inch plush features a fun food truck theme with Hello Kitty's favorite food items. Collect all 5 characters and clip them to your backpack, keys, or purse for a touch of whimsy on the go. Perfect for fans of all ages!",Pompompurin,Pompompurin,Accessory,"accessory, clip, plush clip, embroidered, yellow, brown",9.99,None,Single,0,Squishmallow
735558,"Pompompurin 8"" Plush (Let’s Get Dressed Series)",https://www.sanrio.com/cdn/shop/files/original_2_3001c77a-a6e6-4bd3-bc02-0d626bf03005_800x.jpg?v=1743214749,"Getting dressed can be a chore, unless it’s with Pompompurin and his pal, Muffin! Enjoy a comical and light-hearted series featuring a fun tote, plush, and small accessories great for everyday wear. Blue, green, or red bloomers, which are your fave?",Pompompurin,Pompompurin,Plush,"plush, 8'' plush, besties, muffin, embroidered, yellow",54,Let's Get Dressed,Single,0,None
735876,Pompompurin Reusable Tote Bag (Let’s Get Dressed Series),https://www.sanrio.com/cdn/shop/files/original_bc089b31-01a2-4b80-9857-28ad17aba945_800x.jpg?v=1743215077,"Getting dressed can be a chore, unless it’s with Pompompurin and his pal, Muffin! Enjoy a comical and light-hearted series featuring a fun tote, plush, and small accessories great for everyday wear. Blue, green, or red bloomers, which are your fave?",Pompompurin,Pompompurin,Bags,"bag, tote bag, reusable, PU, steel, poly, yellow",38,Let's Get Dressed,Single,0,None
411663,Pompompurin Posable Standing Display Plush (Medium),https://www.sanrio.com/cdn/shop/files/zz-2506411531_PN_--6_800x.jpg?v=1749006005,"Perfect for displaying on a bookshelf or on your desk, these medium-sized standing and now posable, plushes have magnetic feet to connect to the base which lets it stand all on it's own! Where will you put them? On your book case? On the coffee table? It's up to you!",Pompompurin,Pompompurin,Plush,"plush, medium display plush, magnetic, posable, resin, yellow",42,None,Single,0,None
124508,Pitatto Friends Plush Pompompurin Hoodie (Medium),https://www.sanrio.com/cdn/shop/files/zz-2506124435_PN_--2_800x.jpg?v=1749007143,Enter the world of play and make-believe with Hello Kitty and Friends! Collect and swap with your besties and enjoy the thrill of this cherished Sanrio Originals series. This adorable plush Pompompurin hoodie can be worn by any medium-sized Pitatto character!,Pompompurin,Pompompurin,Plush,"plush, medium display plush, display accessory, display hoodie, yellow",21,None,Single,0,None
615323,Pompompurin Gingham Compact Scissors,https://www.sanrio.com/cdn/shop/files/zz-2505615293_PN_--3_800x.jpg?v=1747854948,"Add a pop of fun to your stationery with these gingham check scissors! Their slim, compact design feels great in your hand and makes cutting a breeze. The blade safely stores away, making them perfect to carry in your crafting or stationery case.",Pompompurin,Pompompurin,Home Goods,"home goods, scissors, compact scissors, resin, gingahm, yellow, blue",11.99,None,Single,0,None
642657,Pompompurin Gingham Mini Memo Sheets,https://www.sanrio.com/cdn/shop/files/zz-2505642568_PN_--2_800x.jpg?v=1750281349,"Add a pop of happiness to your day with this gingham memo set, featuring fun artwork and your favorite Sanrio Character! Plus, it includes a handy card case that’s easy to carry and perfect for reuse.",Pompompurin,Pompompurin,Stationery,"stationery, memo sheets, mini memo sheets, set, pvc",7.99,None,Multiple,0,None
642142,Pompompurin 2-Color Gingham Retractable Pen,https://www.sanrio.com/cdn/shop/files/zz-2505642002_PN_--1_800x.jpg?v=1750283863,"These 2-color gingham retractable pens glide effortlessly, perfect for upgrading your writing while showing off your favorite Sanrio character! Cute and comfy, they’re ideal for journaling, homework, friendship notes, and all your creative writing moments. Add some playful charm to your pen collection!",Pompompurin,Pompompurin,Stationery,"stationery, pen, retractable pen, two-color pen, black ink, red ink, ballpoint pen, gingham, yellow, orange, blue",11.99,None,Single,0,None
642908,Pompompurin Gingham Flat Pouch,https://www.sanrio.com/cdn/shop/files/imgi_12_zz-2505642754_PN_--1_800x.jpg?v=1751583362,"Brighten your day with this cheerful gingham flat pouch, showcasing playful artwork and your beloved Sanrio Character! Lightweight, slim, and water-resistant, it’s perfect for staying organized whether you’re traveling, storing stationery, or carrying your essentials.",Pompompurin,Pompompurin,Bags,"bag, pouch, flat pouch, pvc, cotton, gingham, yellow, blue, clear",14.99,None,Single,0,None
615412,Pompompurin Gingham Binder Clips (Set of 3),https://www.sanrio.com/cdn/shop/files/zz-2505615366_PN_--1_800x.jpg?v=1747800028,"Clip together your most important documents with these gingham binder clips. You'll see your favorite Sanrio faces bobbing at the top of your filing cabinets and drawers for easy visibility, so it's both cute and practical!",Pompompurin,Pompompurin,Stationery,"binder clips, set, steel, yellow, orange, gingham",7.8,None,Single,0,None
642444,Pompompurin Gingham Pencil Pouch,https://www.sanrio.com/cdn/shop/files/imgi_12_zz-2505642363_PN_--1_800x.jpg?v=1751925198,"Add a pop of happiness to your day with this gingham pencil pouch, featuring fun artwork and your favorite Sanrio Character! Water resistant, slim, and lightweight, this pencil pouch keeps all your favorite writing utensils organized and safe.",Pompompurin,Pompompurin,Stationery,"stationery, pouch, pencil pouch, pvc, cotton, gingham, yellow, blue",13.99,None,Single,0,None
273007,Pompompurin Oversized Throw Pillow,https://www.sanrio.com/cdn/shop/files/zz-2310272655_PN_--1_800x.jpg?v=1696545622,"So extra soft and oh so cuddly! Show your love for Pompompurin with this sweet throw pillow, that certainly makes a statement whenever he's around. Settle in for a movie marathon and let this huggable pillow keep you company!",Pompompurin,Pompompurin,Home Goods,"home goods, pillow, throw pillow, oversized throw pillow, embroidered, yellow",38,None,Single,0,None
618250,Pompompurin Friendship Lanyard,https://www.sanrio.com/cdn/shop/files/imgi_13_zz-2104617750_PN_--1_800x.jpg?v=1756488584,"Keep your ID badge nearby with this cute all-over print lanyard featuring Pompompurin! Look closely and you'll see his sweet message ""Time for some fun!"" throughout!",Pompompurin,Pompompurin,Accessory,"accessory, lanyard, friendship lanyard, ID badge, yellow, gingham",9.99,None,Single,0,None
sku-43922088395000,Pompompurin Beaded Charm Mobile Phone Wrist Strap,https://www.sanrio.com/cdn/shop/files/Purin-01_800x.jpg?v=1701369352,"Supercute wristlet for phones, wallets, and more with heart, star, and cookie statement beads, plus a detachable iridescent glitter keychain charm featuring Pompompurin!",Pompompurin,Pompompurin,Accessory,"accessory, charm, beaded charm, smartphone, wrist strap, smartphone wrist strap, beads, yellow",14.99,None,Single,0,None
877433,Pompompurin Die-Cut Comb,https://www.sanrio.com/cdn/shop/products/877433-Zoom.1_800x.jpg?v=1643059122,"Make your daily beauty routine just a little bit cuter with a Pompompurin comb! Perfect for sectioning off your hair, combing your leave-in conditioner through post-shower, and for just about anything else a regular comb might do!",Pompompurin,Pompompurin,Home Goods,"home goods, comb, die-cut comb, set, yellow",6.99,None,Multiple,2,None
278-014560-US,Pompompurin Konbini Building Blocks Set (Instant Ramen),https://www.sanrio.com/cdn/shop/files/BuildingBlocks_Sanrio_Konbini_Pompompurin_01_800x.jpg?v=1757550877,"♡ Treat yourself with Hello Kitty and Friends! Have fun assembling these adorable building block sets featuring Hello Kitty, Cinnamoroll, My Melody, Pompompurin, and Kuromi! Each set features a collectible character figure and display stand plus a cute character-themed konbini snack to build using the included blocks and decorative stickers.",Pompompurin,Pompompurin,Toys&Games,"toys, blocks set, building blocks set, konbini, instant ramen, set",19.99,None,Single,0,None
